MatchID,TeamName,FirstBlood,FirstBaron,DragonKills,BaronKills
683,Team Xujajum,No,No,4,3
966,ZenuXowor,Yes,No,3,2
291,PewuKim,No,Yes,2,1
540,QunubQas,No,Yes,1,3
783,Duzegofa Gaming,Yes,Yes,2,2
419,Marax Esports,No,No,2,3
368,Team Cukejeme,No,Yes,2,0
127,Silevose Bogipove,Yes,Yes,4,2
604,Paweqep Gaming,Yes,No,0,0
316,Cohiluga Esports,No,Yes,4,1
240,Sehas FC,Yes,No,0,2
322,Dudixu Xopomilu,No,Yes,3,0
329,Rixebew Husetojo,Yes,Yes,2,0
900,SadiLuwez,Yes,No,3,1
182,Xemiyona Watateya,Yes,Yes,0,3
507,Zabigid Gaming,No,No,1,0
198,Team Moqubo,Yes,No,5,0
898,Jegevu FC,No,Yes,0,1
481,Team Tefecugo,Yes,Yes,5,2
927,Nuxida United,Yes,Yes,4,2
624,Team Qosorap,No,Yes,3,2
656,WevZiji,Yes,No,2,1
586,JeseMiceq,No,No,4,0
551,Xoyaxa FC,Yes,Yes,3,2
959,Team Qosorap,No,Yes,4,3
281,Romasivi Gaming,No,Yes,5,2
111,Nujamox Xoyet,Yes,No,1,3
498,Zenoko United,No,No,0,3
618,Wuyeziy Gaming,No,Yes,4,2
220,Gololuho Esports,Yes,No,5,3
928,Buyoxow Esports,No,No,2,3
925,HemRuge,No,Yes,4,1
361,Miseyogi FC,No,No,3,0
604,Suseni Gaming,No,Yes,0,2
253,Wunur Hoqomi,No,Yes,5,1
440,Nemuray Tujebi,No,No,1,3
292,Team Zuvel,Yes,Yes,0,2
592,Team Yudufib,No,Yes,2,1
985,Team Muwijin,Yes,Yes,2,0
141,Team Xizuvuc,No,Yes,5,3
160,MitSeb,No,Yes,1,1
907,Wapul Jusurefe,Yes,No,0,3
442,Dufewez Wokaf,No,Yes,5,0
396,Locimuh Qiluhi,No,No,1,0
498,FeyeHojiw,Yes,Yes,1,2
31,Humoto Esports,Yes,No,2,3
814,Team Lefusiw,Yes,No,5,2
175,Team Xuvum,No,No,4,2
206,Taqaten Esports,No,No,2,0
151,Team Degecut,Yes,Yes,2,3
424,DeciTod,No,No,5,3
956,LolaWaye,Yes,No,2,0
488,Fajipo Vufeze,No,No,3,2
397,Zabigid Gaming,Yes,Yes,5,3
566,Zisiyu Yupurof,Yes,Yes,2,1
826,Repiku Fodusuc,No,No,0,3
631,Tewur Lijesi,Yes,Yes,0,1
453,Team Tefecugo,Yes,No,5,2
829,RanugRen,Yes,Yes,4,3
5,WawiWaz,No,Yes,2,2
495,Repiku Fodusuc,Yes,Yes,4,1
867,Wetiref Vuxak,No,Yes,5,2
873,Paweqep Gaming,No,Yes,1,3
404,Fadipow Sukipo,Yes,No,3,2
931,FuwRuh,Yes,Yes,2,1
278,Team Xujajum,No,No,3,2
418,QimeDeqi,No,Yes,1,0
849,Vufivese Pezusopo,No,No,1,1
53,Qepepige Esports,Yes,Yes,3,3
833,Demut United,Yes,Yes,2,1
746,Team Negoru,No,No,5,1
219,PowuwBowo,No,No,0,2
958,Team Yivuyup,Yes,No,4,1
736,WemukGiv,No,No,2,3
792,Tixiruti Esports,No,Yes,0,1
