TeamID,TeamName,Region,FormationYear,TotalChampionships
1,Team Yuzun,CN,2015,5
2,Team Pikejap,SEA,2015,4
3,Team Dipayewi,KR,2017,5
4,Jubayuda Quheped,SEA,2019,0
5,Buzoroxa Geducevu,WS,2020,0
6,Notof Cubuteyi,SEA,2015,5
7,Gayikivi Wahuqa,WS,2011,3
8,WemukGiv,EU,2017,5
9,Yiwafuw Gaming,NA,2015,0
10,Duneqo Esports,EU,2022,3
11,QirejZayo,WS,2015,4
12,Team Lefusiw,CN,2021,3
13,SevaKohi,SEA,2010,5
14,QajadKek,WS,2015,4
15,NoheXavox,KR,2016,4
16,XukZadul,EU,2016,0
17,Ranewe Taman,NA,2013,1
18,Team Viwihuqu,NA,2011,1
19,Jozafic Gayuj,NA,2019,0
20,KoqMakoq,WS,2013,4
21,Yapinu Fexot,EU,2015,1
22,XeqeqKim,KR,2016,2
23,Team Xutodoze,WS,2021,4
24,Tixiruti Esports,NA,2011,0
25,JiwoNawud,CN,2022,2
26,Nejidike Esports,KR,2013,5
27,Bufog FC,EU,2016,3
28,Wujuso Tusiwi,EU,2015,0
29,Hisuhobe Pemez,KR,2015,3
30,YitVekoj,SEA,2022,5
31,Paweqep Gaming,CN,2022,5
32,Doqekuk Wavuju,SEA,2010,5
33,Xemiyona Watateya,KR,2020,0
34,Pexam Wajoto,KR,2019,3
35,Jihisofu Mejihasi,SEA,2012,4
36,Team Socoyo,WS,2018,0
37,Humos United,SEA,2019,2
38,Xereh Nufik,CN,2019,0
39,Team Yivuyup,KR,2016,1
40,Wafeqa United,CN,2011,3
41,Dovutose Esports,SEA,2015,4
42,Kanehate Esports,SEA,2015,1
43,Team Zuxihup,SEA,2015,5
44,Team Qefik,KR,2019,0
45,Fipufi Gaming,KR,2021,4
46,Team Cagis,SEA,2016,3
47,FopLova,CN,2011,0
48,ToyiGum,EU,2017,3
49,Pitoyav Moyeviwo,WS,2022,4
50,Qunete Esports,EU,2020,2
51,BuxuCifac,EU,2018,2
52,Team Hadobu,NA,2020,5
53,Yimakovi FC,NA,2022,1
54,FuwRuh,SEA,2022,4
55,Buyoxow Esports,EU,2014,2
56,Nekom FC,CN,2015,0
57,Team Jihikita,WS,2016,3
58,HonibVohu,WS,2018,5
59,Team Vocadi,WS,2018,5
60,Kizot Tokop,KR,2012,2
61,QunubQas,CN,2019,2
62,Reboloqu Tafeyaza,SEA,2010,5
63,ZugiqCayag,NA,2016,3
64,Team Hetuwor,CN,2020,3
65,MayiLonun,CN,2016,3
66,LagiQiv,NA,2013,1
67,Team Kuzucocu,CN,2022,0
68,SahadFoyen,KR,2020,1
69,Dayuha Xifepava,NA,2015,3
70,Kixejeca Gaming,CN,2018,4
71,Zuvusuj Esports,EU,2017,2
72,Zisiyu Yupurof,SEA,2019,3
73,Kigaxepe Larip,SEA,2019,0
74,LulLefe,CN,2022,5
75,Team Kanux,CN,2012,4
76,Xubitiyo Segafomi,KR,2018,0
77,Yazir Esports,NA,2010,4
78,Vevacom Lexifeje,KR,2017,2
79,JoqiCuyot,SEA,2019,4
80,Desapiq FC,WS,2021,2
81,Jizerux Esports,NA,2021,3
82,Micas Toned,CN,2022,2
83,Xazuqewe Kufisu,CN,2012,0
84,GidaMane,EU,2012,1
85,WafurPom,CN,2019,0
86,Cikeceze Givaxoq,CN,2020,4
87,Team Yetapowo,SEA,2020,1
88,Team Xewuxa,SEA,2018,1
89,SadiLuwez,EU,2011,4
90,MitSeb,SEA,2015,0
91,Wokasa Vovuloc,CN,2013,4
92,QosoVewov,CN,2019,3
93,Nitaweto FC,SEA,2014,3
94,Team Lifuwoqu,CN,2020,1
95,Sajil FC,NA,2011,0
96,Team Buyemu,EU,2012,5
97,Maqocoy FC,SEA,2020,2
98,Team Gihoc,KR,2013,1
99,Team Worefuco,NA,2017,1
100,KojCuq,EU,2014,4
101,Jahacet Kawefes,KR,2020,0
102,Team Pinofo,EU,2019,1
103,XozePox,SEA,2020,4
104,Waveju Esports,NA,2020,5
105,Zevozoza United,EU,2018,0
106,Sayineju Borimoba,EU,2011,3
107,VeqDazid,KR,2022,2
108,RoheGaric,WS,2017,0
109,Hemuxeb Lomem,SEA,2011,4
110,Team Qemidod,KR,2013,3
111,Tiresep FC,NA,2021,5
112,Votiqex Dilibiwe,CN,2011,2
113,Deduy Xageqam,WS,2022,0
114,Mijowo Burer,KR,2021,0
115,Xohipi Gaming,CN,2017,0
116,Fuqicar United,EU,2016,5
117,Team Talori,NA,2022,4
118,Cayoju Kawuzew,NA,2017,3
119,Team Qedoli,CN,2013,5
120,Team Gowuz,NA,2018,4
121,Team Migosu,CN,2014,0
122,Lizem Esports,WS,2015,4
123,Qepepige Esports,SEA,2022,3
124,Team Qirujaz,KR,2015,1
125,Team Wakimeni,SEA,2016,4
126,KacedZaqu,EU,2022,4
127,Gololuho Esports,KR,2014,5
128,DusNop,EU,2022,0
129,WiyogPutar,KR,2010,1
130,ZukuhPidon,CN,2012,5
131,FosZemu,NA,2018,1
132,Jajavayu FC,EU,2012,3
133,Jetodih Mifecobo,KR,2018,3
134,Nazamif Gaming,SEA,2021,3
135,VavQihej,KR,2015,3
136,Team Qavanari,KR,2012,0
137,Team Xizuz,SEA,2022,3
138,LilozZehi,CN,2021,3
139,Goyajel FC,KR,2020,3
140,Zapucaz Rigawi,SEA,2019,4
141,Team Bedika,SEA,2022,5
142,Jibiz Gaming,NA,2020,0
143,Team Kojaduce,NA,2017,3
144,Sahes FC,KR,2014,2
145,Qopacu Esports,WS,2012,2
146,Team Puzumap,WS,2015,5
147,Muvodu Gaming,CN,2019,4
148,Naruneq United,WS,2015,0
149,Team Riyufuza,NA,2013,1
150,Tobiv Esports,SEA,2010,2
151,Team Kijul,EU,2011,2
152,LiqNeg,CN,2011,1
153,Team Bisane,SEA,2012,4
154,Team Cukejeme,CN,2018,4
155,FeyeHojiw,WS,2021,5
156,Team Xekopo,WS,2014,4
157,DuqeJuye,WS,2016,3
158,Team Mepahi,KR,2011,0
159,XawVore,KR,2021,2
160,Pucugocu United,KR,2012,2
161,Xarohah Yametu,CN,2019,3
162,Bemuf Vibos,EU,2018,3
163,Team Racarohi,WS,2013,1
164,Qoxuy Yinapo,SEA,2022,3
165,Team Wobasi,EU,2014,4
166,Loqav Dadoqiti,NA,2014,0
167,Paseca Gaming,EU,2021,3
168,Team Tefecugo,SEA,2020,1
169,Zelozej Esports,WS,2018,0
170,QezYehe,CN,2013,3
171,Huqucoh Tidogu,CN,2021,0
172,Qitipiwi Esports,EU,2021,0
173,Kotey Peqopexi,SEA,2015,5
174,Humoto Esports,SEA,2011,0
175,Foyat Gaming,KR,2012,0
176,Qoxipa Esports,SEA,2017,1
177,Badov Esports,SEA,2015,2
178,Wehuma Esports,EU,2018,1
179,Zijuhi Hewupu,WS,2015,5
180,Team Jaruwi,KR,2013,3
181,Gigidoh FC,SEA,2010,0
182,Bibeqasu Gaming,EU,2014,2
183,Xaruxupo United,KR,2014,5
184,Giwevi FC,EU,2019,4
185,Team Bedizoku,KR,2014,3
186,Team Wohus,NA,2014,0
187,DeciTod,WS,2013,3
188,Team Heraku,EU,2018,2
189,Team Wigure,WS,2012,0
190,Zoracig Esports,EU,2017,2
191,MopoJeti,NA,2013,1
192,Team Voyati,NA,2022,5
193,Zolaleh United,CN,2015,2
194,Nigadego Lemitur,NA,2016,1
195,Sogoyaje Hukejof,WS,2017,2
196,GifebLafa,NA,2016,3
197,JeseMiceq,WS,2015,2
198,Wowenoy Havicuw,NA,2015,5
199,Team Deqedoh,KR,2016,4
200,XosegMukek,KR,2015,3
201,Qofeb Yofil,WS,2019,5
202,Yaculime Poricu,KR,2011,0
203,Resajo Dejix,EU,2020,5
204,Xoyaxa FC,EU,2018,3
205,Vuzili United,EU,2019,5
206,Team Nezolu,WS,2012,3
207,Wunur Hoqomi,KR,2012,0
208,Cuyex Yuyaj,SEA,2015,0
209,PewuKim,EU,2010,4
210,WapuXili,KR,2011,1
211,Qanado Esports,NA,2020,0
212,Team Wobum,SEA,2014,3
213,Zeruveko Pivovuh,KR,2015,3
214,Team Facom,KR,2012,5
215,SiyowLoqon,WS,2021,4
216,ZafazXiha,SEA,2019,3
217,HuruLaho,WS,2016,5
218,Fajipo Vufeze,CN,2016,0
219,Lison Yezeqin,WS,2019,0
220,BesoWunuz,EU,2019,1
221,Huvuco United,CN,2021,3
222,Team Nuvomi,SEA,2019,3
223,MazojWimaj,EU,2018,1
224,Gofep Zehar,EU,2011,1
225,Team Xujajum,CN,2021,3
226,Bemomo Bujeku,CN,2015,2
227,VuzohPed,EU,2017,2
228,HetiwJafa,KR,2012,4
229,Zilupiye Esports,KR,2021,3
230,Homew Gaming,SEA,2010,1
231,Team Qosorap,EU,2020,0
232,Puvorura United,SEA,2020,0
233,Team Nimugo,SEA,2012,3
234,Loqecuna Xifaz,CN,2021,4
